id,set,idset,option,origBlock,block,rotation,income,cov,acc1,acc2,bid,vote,choice,allNO,protNO,watercolor2018,respirr2018,watercolor2019,respirr2019,watercolor_1m,respirr_1m,sq,covacc1,covacc2,acc1acc2,cov12,acc175,acc1100,acc275,acc2100,cov12acc175,cov12acc1100,cov12acc275,cov12acc2100,cov12ec,acc175ec,acc1100ec,acc275ec,acc2100ec,cov12acc175ec,cov12acc1100ec,cov12acc275ec,cov12acc2100ec
2,3,7,3,4.4,4,4,62500,0,0,0,0,3,1,1,0,1.70581263948413,1.15608685296376,1.81571773486536,1.04253741529096,1.54202492826257,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,8,1,4.4,4,4,62500,12,75,50,35,3,0,1,0,1.70581263948413,1.15608685296376,1.81571773486536,1.04253741529096,1.54202492826257,1,0,900,600,3750,1,1,0,0,0,1,0,0,0,1,1,0,-1,-1,1,0,-1,-1
2,4,8,2,4.4,4,4,62500,6,100,50,15,3,0,1,0,1.70581263948413,1.15608685296376,1.81571773486536,1.04253741529096,1.54202492826257,1,0,600,300,5000,0,0,1,0,0,0,0,0,0,-1,0,1,-1,-1,0,-1,1,1
2,4,8,3,4.4,4,4,62500,0,0,0,0,3,1,1,0,1.70581263948413,1.15608685296376,1.81571773486536,1.04253741529096,1.54202492826257,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,9,1,1.4,1,4,42500,12,75,75,35,2,0,0,-999,1.96481637252579,1.64263496706693,1.7469781073936,1.04632377697058,1.58538124221921,1,0,900,900,5625,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
3,1,9,2,1.4,1,4,42500,6,100,75,25,2,1,0,-999,1.96481637252579,1.64263496706693,1.7469781073936,1.04632377697058,1.58538124221921,1,0,600,450,7500,0,0,1,1,0,0,0,0,0,-1,0,1,1,0,0,-1,-1,0
3,1,9,3,1.4,1,4,42500,0,0,0,0,2,0,0,-999,1.96481637252579,1.64263496706693,1.7469781073936,1.04632377697058,1.58538124221921,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,10,1,1.4,1,4,42500,6,100,50,25,1,1,0,-999,1.96481637252579,1.64263496706693,1.7469781073936,1.04632377697058,1.58538124221921,1,0,600,300,5000,0,0,1,0,0,0,0,0,0,-1,0,1,-1,-1,0,-1,1,1
3,2,10,2,1.4,1,4,42500,6,50,50,15,1,0,0,-999,1.96481637252579,1.64263496706693,1.7469781073936,1.04632377697058,1.58538124221921,1,0,300,300,2500,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,1,1
3,2,10,3,1.4,1,4,42500,0,0,0,0,1,0,0,-999,1.96481637252579,1.64263496706693,1.7469781073936,1.04632377697058,1.58538124221921,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,11,1,1.4,1,4,42500,12,100,75,25,2,0,0,-999,1.96481637252579,1.64263496706693,1.7469781073936,1.04632377697058,1.58538124221921,1,0,1200,900,7500,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0
3,3,11,2,1.4,1,4,42500,6,100,100,5,2,1,0,-999,1.96481637252579,1.64263496706693,1.7469781073936,1.04632377697058,1.58538124221921,1,0,600,600,10000,0,0,1,0,1,0,0,0,0,-1,0,1,0,1,0,-1,0,-1
3,3,11,3,1.4,1,4,42500,0,0,0,0,2,0,0,-999,1.96481637252579,1.64263496706693,1.7469781073936,1.04632377697058,1.58538124221921,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,12,1,1.4,1,4,42500,12,100,50,15,2,0,0,-999,1.96481637252579,1.64263496706693,1.7469781073936,1.04632377697058,1.58538124221921,1,0,1200,600,5000,1,0,1,0,0,0,1,0,0,1,0,1,-1,-1,0,1,-1,-1
3,4,12,2,1.4,1,4,42500,12,75,75,5,2,1,0,-999,1.96481637252579,1.64263496706693,1.7469781073936,1.04632377697058,1.58538124221921,1,0,900,900,5625,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
3,4,12,3,1.4,1,4,42500,0,0,0,0,2,0,0,-999,1.96481637252579,1.64263496706693,1.7469781073936,1.04632377697058,1.58538124221921,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,13,1,2.2,2,2,62500,6,75,50,5,1,1,0,-999,2.20572447082072,1.66503600362607,1.59480949932363,1.09376914542823,1.43004552030038,1,0,450,300,3750,0,1,0,0,0,0,0,0,0,-1,1,0,-1,-1,-1,0,1,1
4,1,13,2,2.2,2,2,62500,12,100,50,35,1,0,0,-999,2.20572447082072,1.66503600362607,1.59480949932363,1.09376914542823,1.43004552030038,1,0,1200,600,5000,1,0,1,0,0,0,1,0,0,1,0,1,-1,-1,0,1,-1,-1
4,1,13,3,2.2,2,2,62500,0,0,0,0,1,0,0,-999,2.20572447082072,1.66503600362607,1.59480949932363,1.09376914542823,1.43004552030038,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,14,1,2.2,2,2,62500,6,100,100,25,3,0,0,-999,2.20572447082072,1.66503600362607,1.59480949932363,1.09376914542823,1.43004552030038,1,0,600,600,10000,0,0,1,0,1,0,0,0,0,-1,0,1,0,1,0,-1,0,-1
4,2,14,2,2.2,2,2,62500,12,50,50,15,3,0,0,-999,2.20572447082072,1.66503600362607,1.59480949932363,1.09376914542823,1.43004552030038,1,0,600,600,2500,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1
4,2,14,3,2.2,2,2,62500,0,0,0,0,3,1,0,-999,2.20572447082072,1.66503600362607,1.59480949932363,1.09376914542823,1.43004552030038,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,15,1,2.2,2,2,62500,6,100,75,15,1,1,0,-999,2.20572447082072,1.66503600362607,1.59480949932363,1.09376914542823,1.43004552030038,1,0,600,450,7500,0,0,1,1,0,0,0,0,0,-1,0,1,1,0,0,-1,-1,0
4,3,15,2,2.2,2,2,62500,12,50,50,25,1,0,0,-999,2.20572447082072,1.66503600362607,1.59480949932363,1.09376914542823,1.43004552030038,1,0,600,600,2500,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1
